Variable,N,Mean,SD,Min,P50,Max
Patent Citations,"12,302",2.056,3.978,1.000,1.000,159.000
Academic Citations,"12,302",101.606,310.341,0.000,36.000,10727.000
log(Patent Cit.),"12,302",0.938,0.462,0.693,0.693,5.075
log(Academic Cit.),"12,302",3.545,1.484,0.000,3.611,9.281
Open Access,"12,302",0.571,0.495,0.000,1.000,1.000
Recent (≥2018),"12,302",0.644,0.479,0.000,1.000,1.000
Field Diversity,"12,302",10.961,3.716,1.000,10.000,35.000
Interdiscipl.,"12,302",2.333,0.387,0.000,2.303,3.555
Disruptiveness,"12,302",0.083,0.116,0.000,0.037,0.944
Novelty,"12,302",0.913,0.098,0.000,0.923,1.000
Superstar (Top 1%),"12,302",0.010,0.101,0.000,0.000,1.000
Pre-Field OA Rate,"12,302",0.501,0.303,0.000,0.571,1.000
IV (Shift-Share),"12,302",0.285,0.176,0.000,0.317,0.750
IV (Residualized),"12,302",0.000,0.026,-0.170,-0.003,0.138
Field×Yr Trend,"12,302",0.000,0.858,-7.032,0.000,2.867
