field,exposure_alpha,beta_lofo
Control engineering,0.5714517964558609,0.11613215922523254
Network planning and design,0.0,0.11647629784001932
Outbreak,1.0,0.11523433413332441
Methacrylate,0.5714517964558609,0.11628243574574702
Catalysis,0.6,0.1172092887984438
Internal medicine,0.9729729729729729,0.1171390375094215
Chromatin immunoprecipitation,0.5714517964558609,0.11629905523546429
Nanotechnology,0.6666666666666665,0.11986654940846889
Sorting,1.0,0.11764659593165101
Engineering,0.25,0.11350237546959069
Traffic flow,0.5384615384615385,0.11608265115262985
Normal distribution,0.3333333333333333,0.11613118870535714
Ceramic,0.9000000000000001,0.11711988669042797
Endosome,1.0,0.11864687078803159
Composite material,0.2631578947368421,0.11346806897883722
