,Institution,total_papers,total_patents,mean_patents,superstar_cnt,oa_rate,pre_oa_rate,superstar_pct
0,Chinese Academy of Sciences,1500,3949.0,2.6326666666666667,31,0.6973333333333334,0.5539182174956843,2.07
1,Tsinghua University,784,1941.0,2.475765306122449,13,0.5459183673469388,0.48657510394502307,1.66
2,Shanghai Jiao Tong University,471,1241.0,2.634819532908705,9,0.6815286624203821,0.5569293511049145,1.91
3,Zhejiang University,500,1101.0,2.202,3,0.684,0.55252019339745,0.6
4,Tongji University,584,966.0,1.654109589041096,3,0.4366438356164384,0.4606727784973272,0.51
5,Peking University,325,901.0,2.772307692307692,6,0.72,0.5745414329201025,1.85
6,Beijing Jiaotong University,599,895.0,1.4941569282136895,0,0.3622704507512521,0.41713775533384384,0.0
7,University of Chinese Academy of Sciences,371,858.0,2.31266846361186,6,0.7412398921832885,0.5867504145879632,1.62
8,Beihang University,470,830.0,1.7659574468085106,2,0.44680851063829785,0.4308862812890651,0.43
9,Southeast University,557,824.0,1.4793536804308798,1,0.4272890484739677,0.4377295779353856,0.18
10,Central South University,417,696.0,1.669064748201439,3,0.5083932853717026,0.5118684484725973,0.72
11,Huazhong University of Science and Technology,272,682.0,2.5073529411764706,5,0.6580882352941176,0.5248437807651568,1.84
12,Fudan University,236,662.0,2.805084745762712,5,0.8135593220338984,0.6681938706641745,2.12
13,Wuhan University,307,641.0,2.0879478827361564,2,0.6612377850162866,0.48840085121535726,0.65
14,Sun Yat-sen University,281,610.0,2.170818505338078,4,0.693950177935943,0.5804692816915582,1.42
15,Harbin Institute of Technology,384,607.0,1.5807291666666667,1,0.4010416666666667,0.463465580264737,0.26
16,Wuhan University of Technology,418,603.0,1.4425837320574162,0,0.41148325358851673,0.4400201724625534,0.0
17,Nanjing University,218,594.0,2.7247706422018347,6,0.7247706422018348,0.5079559853128609,2.75
18,Jilin University,309,570.0,1.8446601941747574,4,0.6343042071197411,0.4875384972050183,1.29
19,Xi'an Jiaotong University,214,515.0,2.4065420560747666,2,0.5794392523364486,0.4814536484990617,0.93
